NR_4.0_29909.1 4V9Q DV
NR_4.0_12494.1 6CFJ 1x
NR_4.0_35542.106 5L4O A
NR_4.0_20721.9 5E81 2K
NR_4.0_47349.1 4WT8 D4
NR_4.0_72820.1 4TUE QV
NR_4.0_03720.1 3J92 2
NR_4.0_47295.1 6I0V B
NR_4.0_24610.2 7NSH BA
NR_4.0_33675.2 6YDP BB
NR_4.0_33389.1 2DU3 D
NR_4.0_23049.1 1KUQ B
NR_4.0_25521.1 5K77 X
NR_4.0_07798.1 4A3C P
NR_4.0_63409.1 3HOZ P
NR_4.0_10157.106 5J7L DB
NR_4.0_51674.1 3BT7 D
NR_4.0_37888.1 7O7Z AH
NR_4.0_74018.1 5TCU D
NR_4.0_22323.3 7MDZ 2
NR_4.0_97575.1 6UZ7 3
NR_4.0_04887.1 5IMQ 5
NR_4.0_45742.1 6O8W u
NR_4.0_12290.1 5MMM z
NR_4.0_19951.61 4YCO D
NR_4.0_95556.5 4V90 AV
NR_4.0_71445.1 5AJ0 Bv
NR_4.0_60942.1 5OT7 3
NR_4.0_65795.69 4LFB A
NR_4.0_97519.62 7RQB 1A
NR_4.0_42622.62 7RQB 1B
NR_4.0_65403.1 6IV9 B
NR_4.0_78372.5 6X1B D
NR_4.0_55306.1 8E0F D,C
NR_4.0_26186.1 4JRC B
NR_4.0_06181.1 7P6Z 3
NR_4.0_86840.1 6XLN R
NR_4.0_01186.1 7P6Z 5
NR_4.0_76251.1 7P6Z 4
NR_4.0_99059.1 7P6Z 7
NR_4.0_56726.94 5J7L AA
NR_4.0_55114.1 5B63 D
NR_4.0_72076.8 6FYY 2
NR_4.0_99632.7 6FYY 1
NR_4.0_06650.27 7O7Y B5,B8
NR_4.0_86088.1 5LR4 A,B
NR_4.0_08637.1 5BZ1 B
NR_4.0_76503.1 7UOB T,P
NR_4.0_21736.6 6D30 C
NR_4.0_33222.1 6RT5 A
NR_4.0_40909.1 8A22 B4
NR_4.0_08591.1 6XU8 A5,A8
NR_4.0_18857.1 5EMO F
NR_4.0_83717.108 5J7L DA
NR_4.0_08576.3 6DO8 b
NR_4.0_66417.1 6Z8K P,T
NR_4.0_64827.1 5VZJ M
NR_4.0_92086.1 7L49 E
NR_4.0_91654.1 7JNH B
NR_4.0_02729.1 5VZJ N
NR_4.0_72694.2 7PZY 10
NR_4.0_23205.3 6DO8 B
NR_4.0_65061.16 6ZMI L5,L8
NR_4.0_61960.1 6XN3 R,T
NR_4.0_27023.1 3LQX B
NR_4.0_18961.1 1WMQ D
NR_4.0_18600.1 6PPQ H
NR_4.0_25376.1 6PRV A
NR_4.0_43598.1 5KVJ A,B
NR_4.0_13077.1 7OZV T,P
NR_4.0_89429.5 4FEN B
NR_4.0_66896.1 5NDI B
NR_4.0_44340.1 3LRR C,D
NR_4.0_36410.1 7LIU Y
NR_4.0_19728.1 7RGU F
NR_4.0_95734.1 4B3R Z,W
NR_4.0_80360.2 6TFF A
NR_4.0_38795.1 1YZD A,B
NR_4.0_48721.1 5XXU 2
NR_4.0_98212.1 5ELR B
NR_4.0_45098.2 7B5K x
NR_4.0_30938.1 7OEA E
NR_4.0_22385.1 7DCO H,F
NR_4.0_55785.1 4M59 C
NR_4.0_39651.1 3HJW D
NR_4.0_54661.1 2GJW I,J,L
NR_4.0_59627.1 6XAS R
NR_4.0_27182.1 4M59 D
NR_4.0_76703.6 5E81 1K
NR_4.0_40559.1 4PEH W
NR_4.0_28129.1 7QIW 2,8
NR_4.0_86334.1 4LGT E
NR_4.0_73553.1 7BV2 T,P
NR_4.0_19218.1 2NVT R
NR_4.0_93567.1 7RIY R
NR_4.0_09880.4 2G8I B
NR_4.0_57598.2 3RG5 B
NR_4.0_90840.4 7MDL E
NR_4.0_59317.1 6DB9 R
NR_4.0_34764.1 6YL5 I
NR_4.0_54098.1 7EOG A
NR_4.0_79533.1 3ZLA I
NR_4.0_19539.1 5HNJ A,B
NR_4.0_94467.7 6VQV L
NR_4.0_51156.1 3SQX B
NR_4.0_12865.1 5ZSE C
NR_4.0_90160.4 5B2P B
NR_4.0_96380.1 2IX1 B
NR_4.0_02656.1 4P5J A
NR_4.0_13732.1 7UTN C
NR_4.0_37403.2 8EOS R
NR_4.0_88542.1 6LXD D
NR_4.0_96910.1 7VSJ B
NR_4.0_29848.1 3DIL A
NR_4.0_19677.1 5C0Y D
NR_4.0_54627.8 4A3G P
NR_4.0_90633.21 4WF9 X
NR_4.0_51377.2 7TTW 2
NR_4.0_09580.1 5C0Y C
NR_4.0_27096.1 4WFL A
NR_4.0_55726.1 7XSZ P
NR_4.0_74924.18 3PEY B
NR_4.0_55496.1 205D A,B
NR_4.0_08417.1 7UNW A
NR_4.0_16664.1 6YFT RR
NR_4.0_21296.1 6KQN I
NR_4.0_14758.1 3R4F A
NR_4.0_86034.1 8GWE H
NR_4.0_56610.1 4Y52 R
NR_4.0_95963.4 5IPL 3
NR_4.0_51266.3 2C4Q R
NR_4.0_34359.7 2NVQ R
NR_4.0_75028.1 2IZN R
NR_4.0_13358.1 1N32 Y,Z
NR_4.0_40848.1 5ZSL D
NR_4.0_89275.1 4Q0B t
NR_4.0_11898.1 5ZSD D
NR_4.0_52597.1 6YDP AA
NR_4.0_91756.1 6S8B V,U
NR_4.0_08155.1 3SIV C,F
NR_4.0_32983.1 5M5Y R
NR_4.0_02127.1 7OM7 H,G
NR_4.0_63075.1 7UQ6 B
NR_4.0_45110.1 6BLO R
NR_4.0_25251.1 7CGL B
NR_4.0_51862.1 4LCK B
NR_4.0_57351.1 7S3A B
NR_4.0_81496.1 5Y85 D
NR_4.0_69350.1 5DDO A
NR_4.0_04601.1 5DDO B
NR_4.0_73125.1 7EDT A,B
NR_4.0_03690.1 6FPQ B
NR_4.0_78233.3 4V9K AW
NR_4.0_16044.1 1I9X A,B
NR_4.0_71335.1 5ZWM B
NR_4.0_94750.1 5XY3 1,4
NR_4.0_78218.1 7NUN C
NR_4.0_12757.1 5BKL Y,n
NR_4.0_95409.1 1UVM D
NR_4.0_43688.1 7CGF B
NR_4.0_05013.1 7L1F T,P
NR_4.0_56893.1 3P59 E,A,C,G,B,D,F,H
NR_4.0_72830.1 5E3H B,C
NR_4.0_69516.1 1Y26 X
NR_4.0_42385.1 7DU2 R
NR_4.0_71748.1 6UZ7 7
NR_4.0_10487.1 4NFQ A
NR_4.0_19377.2 5M3H V,R
NR_4.0_21434.1 6THN A
NR_4.0_56633.6 7P3K V
NR_4.0_19817.1 7FJJ R
NR_4.0_90506.55 5TBW 1,4
NR_4.0_48359.1 5UZ6 A
NR_4.0_99471.1 5WWT C
NR_4.0_97629.1 3NL0 B,C
NR_4.0_28207.3 6OLE v
NR_4.0_17578.1 6QDV 2,6
NR_4.0_99228.1 5ZWO H,I,F
NR_4.0_07227.1 3ERC F
NR_4.0_40973.1 3ERC G
NR_4.0_65664.1 3ERC I
NR_4.0_67137.1 6P7M B
NR_4.0_68817.1 7CTT T,Q
NR_4.0_52425.2 7R97 C
NR_4.0_79034.1 7DOL C
NR_4.0_36783.1 5BKN bb,qq
NR_4.0_34740.1 4QJD D
NR_4.0_69813.10 7EQJ B
NR_4.0_25735.1 1PJG A
NR_4.0_20758.2 5F8J B,C
NR_4.0_49161.1 6XJQ A
NR_4.0_02086.1 3BBM B,C,A
NR_4.0_35200.1 5KI6 B
NR_4.0_55702.1 1C9S W
NR_4.0_81641.1 6F4G C
NR_4.0_69142.1 3NMR B
NR_4.0_08834.1 7MEI R
NR_4.0_60411.1 7MSF R
NR_4.0_65457.1 5KL8 C
NR_4.0_07301.1 6HCT A,B
NR_4.0_12697.1 6RJA D
NR_4.0_01147.1 6GZ4 Bw
NR_4.0_83593.3 5AXM P
NR_4.0_18471.1 4V4J 2
NR_4.0_25303.2 4V9F 9
NR_4.0_79645.1 4KRE R
NR_4.0_43542.1 4HOT X
NR_4.0_09715.1 5NS3 C
NR_4.0_15174.1 7VBB R
NR_4.0_26150.2 4V9F 0
NR_4.0_28179.1 3GTP R
NR_4.0_41143.1 7YNC B,C
NR_4.0_12063.1 7P0V B
NR_4.0_52785.1 2R7Z P
NR_4.0_23423.1 6UVN M
NR_4.0_63520.1 4TU0 F
NR_4.0_90670.1 6WW6 E
NR_4.0_22325.1 5F9R A
NR_4.0_95171.1 3MJA B
NR_4.0_29649.1 3ND3 A
NR_4.0_28508.1 6R9O B
NR_4.0_89292.5 4WQ1 3K
NR_4.0_23607.1 6IS0 C
NR_4.0_73731.2 3U4M B
NR_4.0_58167.1 3E5C A
NR_4.0_22327.1 3SNP D
NR_4.0_90150.1 5T5H G
NR_4.0_08337.1 1F8V R
NR_4.0_09965.1 7UU5 M,N
NR_4.0_76892.2 5LZD y
NR_4.0_15912.1 8AMI B,A
NR_4.0_11689.3 6ZVI e
NR_4.0_88987.9 7A0S X
NR_4.0_17405.9 7A0S Y
NR_4.0_37355.1 6WOO 3
NR_4.0_45210.1 4TYW B
NR_4.0_00973.1 2XS2 B
NR_4.0_89299.1 7D81 A
NR_4.0_64635.1 1KD4 A,B
NR_4.0_79672.1 4V7M AY
NR_4.0_31819.5 1QTQ B
NR_4.0_38961.3 7OSM ASIT
NR_4.0_28670.1 7LO9 A,B
NR_4.0_71199.4 5Z1I A
NR_4.0_24890.3 6GSL 1L
NR_4.0_51196.1 4V84 AV
NR_4.0_31135.1 5AOR C
NR_4.0_66108.1 2DRA B
NR_4.0_16324.1 2VOD D
NR_4.0_62361.1 6JOO B
NR_4.0_06465.1 7O81 AJ
NR_4.0_96091.1 7CPU L5,L8
NR_4.0_11709.1 3ZGZ B
NR_4.0_51076.1 1QC0 C,D
NR_4.0_27000.1 7O81 AT
NR_4.0_87221.1 7XSP D,A
NR_4.0_14761.1 5WWX C
NR_4.0_69769.1 6WDR 2
NR_4.0_45609.5 6TNU m
NR_4.0_87898.1 7OJN E
NR_4.0_74880.3 6TB3 n
NR_4.0_40394.1 7Z26 E
NR_4.0_91124.3 6HC5 A
NR_4.0_79803.1 7O80 AT
NR_4.0_83025.1 7VG2 D,C
NR_4.0_98920.1 4QU6 B
NR_4.0_98705.4 2P7E D,C,P
NR_4.0_71302.1 2UXB Y,X
NR_4.0_20784.1 4TZ0 B
NR_4.0_65987.1 7XD9 B,C
NR_4.0_10796.1 1BR3 A
NR_4.0_28594.1 2X1F B
NR_4.0_13728.1 4V8P D1,C2
NR_4.0_92884.1 7VTI B
NR_4.0_48352.1 4XWF A
NR_4.0_60906.1 4JAB A,B
NR_4.0_88157.3 4CS1 A
NR_4.0_94729.10 4NLF A
NR_4.0_89906.2 3WFS A
NR_4.0_20373.1 7M57 7
NR_4.0_64918.14 7SOS B
NR_4.0_53005.1 5NXT U
NR_4.0_99955.1 6SGB CA
NR_4.0_11028.1 5O1Y B
NR_4.0_48748.1 5T5A A
NR_4.0_73795.1 4WJ3 S
NR_4.0_21280.26 7O7Y A2
NR_4.0_07795.1 7D7W A
NR_4.0_73286.16 6QW6 5
NR_4.0_03715.1 1QU2 T
NR_4.0_77683.1 2JEA C
NR_4.0_38099.1 3BNR C,D
NR_4.0_56999.3 8H2H A
NR_4.0_82338.1 6YYT P,Q,U,T
NR_4.0_79955.1 6R6G AF
NR_4.0_37229.2 1MFQ A
NR_4.0_97539.1 7KGB a
NR_4.0_30196.1 5C9H C,D
NR_4.0_55295.1 3FTE C,D
NR_4.0_90146.1 6ZJ3 LN
NR_4.0_42560.1 2ZI0 C,D
NR_4.0_93661.1 7NUQ C
NR_4.0_23978.1 1U63 D
NR_4.0_28023.1 5EX7 B
NR_4.0_32411.1 6EVJ N
NR_4.0_20904.1 7WM4 A,B
NR_4.0_04793.1 8H0V P
NR_4.0_83043.1 5ZEB B
NR_4.0_76090.3 7S0S C
NR_4.0_36360.1 6ZJ3 LE
NR_4.0_50004.1 1FXL B
NR_4.0_11167.1 6LNB M
NR_4.0_68504.1 6ZJ3 LD
NR_4.0_77275.1 4K31 B,C
NR_4.0_67193.3 8D8L a
NR_4.0_41145.1 6ZJ3 LF
NR_4.0_66687.6 7P7Q a
NR_4.0_66570.1 6MPI X,W
